"#","Company","Industry","Type","Location","Profile URL"
"931","FEST FIRE SECURITY MINING 1 (PTY) LTD","Securities and Commodity Contracts Intermediation and Brokerage","Independent","POTCHEFSTROOM, NORTHWEST PROVINCE, South Africa","https://dnb.com/business-directory/company-profiles/fest-fire-security-mining-1-(pty)-ltd.98922a052c3f00988173e95582be6e0c"
"932","L B J ACADEMIC FIRE ARM AND SECURITY (PT...","Securities and Commodity Contracts Intermediation and Brokerage","Independent","VEREENIGING, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/l-b-j-academic-fire-arm-and-security-(pty)-ltd.48f17caa346760f956fd26474f53b16f"
"933","YESHOUA FIRE AND SECURITY SERVICES (PTY)...","Securities and Commodity Contracts Intermediation and Brokerage","Independent","KUILS RIVER, WESTERN CAPE, South Africa","https://dnb.com/business-directory/company-profiles/yeshoua-fire-and-security-services-(pty)-ltd.3d078bbb9faed6fc7ad147eec715aa9a"
"934","R G K FIRE SERVICES AND SECURITY (PTY) L...","Securities and Commodity Contracts Intermediation and Brokerage","Independent","ORANGE FARM, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/r-g-k-fire-services-and-security-(pty)-ltd.086dfda2c6bcca9084b51c1077afcbca"
"935","SHIELD AND PROTECT FIRE AND SECURITY SYS...","Securities and Commodity Contracts Intermediation and Brokerage","Independent","JOHANNESBURG, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/shield-and-protect-fire-and-security-systems-(pty)-ltd.60e93d68495285c4acfcb2a3c4d48b64"
"936","LEEROY FIRE AND SECURITY (PTY) LTD","Securities and Commodity Contracts Intermediation and Brokerage","Independent","CAPE TOWN, WESTERN CAPE, South Africa","https://dnb.com/business-directory/company-profiles/leeroy-fire-and-security-(pty)-ltd.37b11d52b241383978d061cd713f8711"
"937","A C K FIRE AND SECURITY (PTY) LTD","Securities and Commodity Contracts Intermediation and Brokerage","Independent","MAFATSANA, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/a-c-k-fire-and-security-(pty)-ltd.c7c33f7256c2aec9d35e33e9df0c9bd1"
"938","GEMINI FIRE AND SECURITY (PTY) LTD","Securities and Commodity Contracts Intermediation and Brokerage","Independent","JOHANNESBURG, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/gemini-fire-and-security-(pty)-ltd.4490dbfbeb35bec66a6483fac5050726"
"939","TWINNET FIRE AND SECURITY SERVICES (PTY)...","Securities and Commodity Contracts Intermediation and Brokerage","Independent","JOHANNESBURG, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/twinnet-fire-and-security-services-(pty)-ltd.969dc6c61aae3e8676bebcea7550cae5"
"940","SIBBS FIRE AND SECURITY (PTY) LTD","Securities and Commodity Contracts Intermediation and Brokerage","Independent","PRETORIA, GAUTENG, South Africa","https://dnb.com/business-directory/company-profiles/sibbs-fire-and-security-(pty)-ltd.aa8624d6de9ebb3653b7fb90f97d880a"
