"#","Company","Industry","Type","Location","Profile URL"
"25","Guangdong Shu'an Electric Fire-fighting ...","Management, Scientific, and Technical Consulting Services","Independent","Shenzhen, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangdong-shuan-electric-fire-fighting-safety-inspection-and-testing-co-ltd.b2c19458d0fb79acc8a590dc3b9a27a7"
"26","Liaoning Longtai Fire-fighting Inspectio...","Professional and Commercial Equipment and Supplies Merchant Wholesalers","Independent","Shenyang, Liaoning, China","https://dnb.com/business-directory/company-profiles/liaoning-longtai-fire-fighting-inspection-and-testing-co-ltd.2bddf0e3129e91da934e18980c7ed12a"
"27","Hunan Anke Engineering Group Co., Ltd.","Business Support Services","Parent","Changsha, Hunan, China","https://dnb.com/business-directory/company-profiles/hunan-anke-engineering-group-co-ltd.e98e4d63099c39c61601d2c2e72a607a"
"28","Henan Hongyu Fire-Fighting Inspection & ...","Business Support Services","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-hongyu-fire-fighting-inspection--testing-co-ltd.871fc71ecf2f1fa616ce6a09c9bafe7c"
"29","Fire Inspection Services Inc.","Other Support Services","Independent","Calgary, AB, Canada","https://dnb.com/business-directory/company-profiles/fire-inspection-services-inc.8e709c9fe0ed97a339b68d22b7646931"
"30","Jilin Shengan Jianzhu Fire-Fighting Faci...","Other Fabricated Metal Product Manufacturing","Subsidiary","Changchun, Jilin, China","https://dnb.com/business-directory/company-profiles/jilin-shengan-jianzhu-fire-fighting-facility-inspection--testing-co-ltd.e33427c13108170237b532cd9cabfaa1"
"31","Yangjiang Fire-Fighting Repairing Inspec...","Commercial and Industrial Machinery and Equipment (except Automotive and Electro...","Independent","Yangjiang, Guangdong, China","https://dnb.com/business-directory/company-profiles/yangjiang-fire-fighting-repairing-inspection--testing-department.274dab7bacd0a3e628bcebc506b5f914"
"32","Qingdao Tongcheng Office Fire-fighting S...","Machinery, Equipment, and Supplies Merchant Wholesalers","Subsidiary","Qingdao, Shandong, China","https://dnb.com/business-directory/company-profiles/qingdao-tongcheng-office-fire-fighting-safety-inspection-and-testing-co-ltd.48678ad3a1d823a19425d7183d78c8bc"
"33","Tieling Fengping Fire-fighting Facility ...","Business Support Services","Independent","Tieling, Liaoning, China","https://dnb.com/business-directory/company-profiles/tieling-fengping-fire-fighting-facility-inspection--testing-co-ltd.d4828b7fd4c2da0d11fd4b405a9a6077"
"34","Henan Xin'anli Fire Protection Technolog...","Business Support Services","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-xinanli-fire-protection-technology-co-ltd.3a52dda40fd6b0e66c2c9816a88c95c7"
"35","Wenzhou Jingcheng Electrical Fire Facili...","Other Professional, Scientific, and Technical Services","Parent","Wenzhou, Zhejiang, China","https://dnb.com/business-directory/company-profiles/wenzhou-jingcheng-electrical-fire-facilities-safety-inspection--co-ltd.a5496537e1b5defe5c295a7f682525b7"
"36","Hubei Construction Fire-fighting Facilit...","Other Specialty Trade Contractors","Parent","Wuhan, Hubei, China","https://dnb.com/business-directory/company-profiles/hubei-construction-fire-fighting-facility-inspection-and-testing-repairingcenterco-ltd.96ec0039006c2095c31b7b37f9f55bdc"
"37","JAEDS HOLDINGS LTD","Management of Companies and Enterprises","Parent","BIRMINGHAM, England, United Kingdom","https://dnb.com/business-directory/company-profiles/jaeds-holdings-ltd.588ff6f16a0f4b14fac8b9da00103afb"
"38","FIRE AND TECHNICAL INSPECTION BUREAU (PT...","Other Professional, Scientific, and Technical Services","Independent","CAPE TOWN, WESTERN CAPE, South Africa","https://dnb.com/business-directory/company-profiles/fire-and-technical-inspection-bureau-(pty)-ltd.fa1fddac7e90fb91b2ea0eb7af09001b"
"39","Zhejiang Yinghua Safety Technology Co., ...","Architectural, Engineering, and Related Services","Parent","Hangzhou, Zhejiang, China","https://dnb.com/business-directory/company-profiles/zhejiang-yinghua-safety-technology-co-ltd.cc5e9a03b37de7f861e4af4d0afe2963"
"40","Wuhan Hanxing Huadewei Fire Fighting Sec...","Rubber Product Manufacturing","Independent","Wuhan, Hubei, China","https://dnb.com/business-directory/company-profiles/wuhan-hanxing-huadewei-fire-fighting-security-detection-co-ltd.9457bcc9702d9b73060d1dcb4aded6b6"
"41","Shenzhen Hecheng Fire-Fighting Safety Te...","Business Support Services","Parent","Shenzhen, Guangdong, China","https://dnb.com/business-directory/company-profiles/shenzhen-hecheng-fire-fighting-safety-technology-inspection-and-testing-co-ltd-.29bfe1438281e131e2d2d182ce149fb3"
"42","Henan Shengze Fire-fighting Inspection A...","Business Support Services","Parent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-shengze-fire-fighting-inspection-and-testing-technology-co-ltd.1c542811317685b39a6ca99338b7b5e5"
"43","Xianghe Huadun Fire-fighting Facility In...","Personal and Household Goods Repair and Maintenance","Independent","Langfang, Hebei, China","https://dnb.com/business-directory/company-profiles/xianghe-huadun-fire-fighting-facility-inspection-and-testing-service-co-ltd.84c894cd80be50c02edd07bddd00f24b"
"44","Yantai Dazhong Fire-fighting Maintenance...","Personal and Household Goods Repair and Maintenance","Independent","Yantai, Shandong, China","https://dnb.com/business-directory/company-profiles/yantai-dazhong-fire-fighting-maintenance-inspection-and-testing-co-ltd.c9ddd9c99e81f505867afc130d5e988f"
"45","Shaanxi Jinyuan Fire-fighting Inspection...","Specialty Food Retailers","Independent","Xi'an, Shaanxi, China","https://dnb.com/business-directory/company-profiles/shaanxi-jinyuan-fire-fighting-inspection--testing-maintenance-service-coltd.76faff625e02fa42ccea16f95676e856"
"46","Zhejiang Fang'an Fire-Fighting Inspectio...","Business Support Services","Independent","Jiaxing, Zhejiang, China","https://dnb.com/business-directory/company-profiles/zhejiang-fangan-fire-fighting-inspection--testing-coltd.21303629706e8cffeccd728e982eb592"
"47","Henan Hengxu Fire-fighting Inspection An...","Business Support Services","Independent","Zhengzhou, Henan, China","https://dnb.com/business-directory/company-profiles/henan-hengxu-fire-fighting-inspection-and-testing-technology-co-ltd.22434c8c96cd6d7dbb8e031097ad8a13"
"48","Xingtai Shunxin Fire-fighting Facility I...","Business Support Services","Independent","Xingtai, Hebei, China","https://dnb.com/business-directory/company-profiles/xingtai-shunxin-fire-fighting-facility-inspection-and-testing-co-ltd.a6f5583af8d789234bc89aa8205adbd4"
"49","Qinhuangdao Jiu'an Fire-fighting Enginee...","Business Support Services","Independent","Qinhuangdao, Hebei, China","https://dnb.com/business-directory/company-profiles/qinhuangdao-jiuan-fire-fighting-engineering-inspection-co-ltd.d1ee716c017f0f196ab2ae61ffc2561a"
"50","Beijing Huaqiang Zhengye Fire-Fighting I...","Architectural, Engineering, and Related Services","Subsidiary","Beijing, Beijing, China","https://dnb.com/business-directory/company-profiles/beijing-huaqiang-zhengye-fire-fighting-inspection--testing-coltd.c6e99a1ed37fc24f75388b5df6c5895a"
"51","Jilin Jinding Electric Firefighting Safe...","Machinery, Equipment, and Supplies Merchant Wholesalers","Parent","Songyuan, Jilin, China","https://dnb.com/business-directory/company-profiles/jilin-jinding-electric-firefighting-safety-inspection-and-testing-co-ltd.2628f5ecc2708918e2cb607fb3445e46"
"52","Fujian Liancheng Fire-fighting Inspectio...","Business Support Services","Independent","Xiamen, Fujian, China","https://dnb.com/business-directory/company-profiles/fujian-liancheng-fire-fighting-inspection--testing-coltd.5dbb83bc0f81a75c546adebe7364262a"
"53","Guangzhou Cheng'an Fire-fighting Inspect...","Building Finishing Contractors","Parent","Guangzhou, Guangdong, China","https://dnb.com/business-directory/company-profiles/guangzhou-chengan-fire-fighting-inspection-and-testing-technology-co-ltd.e3c9a2f250cbe1ca28d8697a8d7a928a"
"54","Hunan Mingyi Fire-fighting Safety Inspec...","Specialized Design Services","Independent","Changsha, Hunan, China","https://dnb.com/business-directory/company-profiles/hunan-mingyi-fire-fighting-safety-inspection-and-testing-co-ltd.cdda9b1f116f5444e63ec8c0a8992e25"
"55","Hebei Yilong Construction Supervision Co...","Business Support Services","Independent","Shijiazhuang, Hebei, China","https://dnb.com/business-directory/company-profiles/hebei-yilong-construction-supervision-co-ltd.a28e8c21d7daf47111674437a0e6546b"
"56","Henan Haolun Fire-fighting Inspection An...","Computer Systems Design and Related Services","Independent","Pingdingshan, Henan, China","https://dnb.com/business-directory/company-profiles/henan-haolun-fire-fighting-inspection-and-testing-technology-co-ltd.8f5fc6cc3d594edb8cd6af3976a62d28"
"57","Qinhuangdao Shuang'an Fire-Fighting Faci...","Business Support Services","Independent","Qinhuangdao, Hebei, China","https://dnb.com/business-directory/company-profiles/qinhuangdao-shuangan-fire-fighting-facility-inspection--testing-coltd.5267eed60ef5e82b037761d35fa795e2"
"58","Chongqing Shengyuanhe Fire-fighting Faci...","Business Support Services","Independent","Chongqing, Chongqing, China","https://dnb.com/business-directory/company-profiles/chongqing-shengyuanhe-fire-fighting-facility-inspection-and-testing-co-ltd.46beaffd2ee2615834ccdc5d2091a308"
"59","Vip Fire Safety Inspection And Preventio...","Other Professional, Scientific, and Technical Services","Independent","Vancouver, BC, Canada","https://dnb.com/business-directory/company-profiles/vip-fire-safety-inspection-and-prevention-inc.6488c4f1054b7e013a6691dc4bc0241f"
"60","Fire Inspection Services Ltd","Other Support Services","Independent","Burlington, ON, Canada","https://dnb.com/business-directory/company-profiles/fire-inspection-services-ltd.2ea7d86d545f89b2e347d2fa823e0391"
"61","Hebei Chongyuan Fire-fighting Inspection...","Business Support Services","Independent","Langfang, Hebei, China","https://dnb.com/business-directory/company-profiles/hebei-chongyuan-fire-fighting-inspection-and-testing-service-co-ltd.df0a5f523d52a6a12e305c63df220665"
"62","Sichuan Rongyi Fire-fighting Inspection ...","Business Support Services","Independent","Chengdu, Sichuan, China","https://dnb.com/business-directory/company-profiles/sichuan-rongyi-fire-fighting-inspection-and-testing-co-ltd.a4ea69ff3b47a175de8b143a629e145b"
